term,category,hot_technology
Altova MapForce,Metadata management software,FALSE
Alua Software Paddock Pro,Data base user interface and query software,FALSE
Amadeus Altea Reservation,Data base user interface and query software,FALSE
Amadeus CRS,Data base user interface and query software,FALSE
Amazing Charts,Medical software,FALSE
Amazon Data Pipeline,Data base management system software,FALSE
Amazon DynamoDB,Data base management system software,TRUE
Amazon Elastic Compute Cloud EC2,Data base user interface and query software,TRUE
Amazon Elastic Container Service ECS,Application server software,FALSE
Amazon Kinesis,Data base management system software,FALSE
Amazon Simple Storage Service S3,Storage networking software,FALSE
Amazon Web Services AWS CloudFormation,Cloud-based management software,TRUE
Amazon Web Services AWS SageMaker,Cloud-based management software,FALSE
Amazon Web Services AWS,Data base user interface and query software,TRUE
Amber Road,Materials requirements planning logistics and supply chain software,FALSE
Ambient Design ArtRage,Graphics or photo imaging software,FALSE
Amcom AUTOS2000,Facilities management software,FALSE
American Association of Critical Care Nurses AACN Medicopeia,Information retrieval or search software,FALSE
American Data Systems PAWS Veterinary Practice Management,Medical software,FALSE
American Glazing Software AGS WindowPricer,Project management software,FALSE
American HealthTech Financial,Accounting software,FALSE
American LegalNet USCourtForms,Information retrieval or search software,FALSE
American Legalnet Smart Dockets,Calendar and scheduling software,FALSE
American Legalnet eDockets,Calendar and scheduling software,FALSE
American Medical Association CodeManager,Categorization or classification software,FALSE
American Medical Billing Software PMA,Billing and invoicing software,FALSE
American National Standards Institute ANSI C,Development environment software,FALSE
American Orthodontics Compu-Ceph,Graphics or photo imaging software,FALSE
American Orthodontics Photo-Eze,Graphics or photo imaging software,FALSE
American Orthotic and Prosthetic Association CodingPro,Medical software,FALSE
American Precision Instruments Regit,Point of sale POS software,FALSE
American Printing House for the Blind Learn Keys,Device drivers or system software,FALSE
American Printing House for the Blind Talking Typer,Computer based training software,FALSE
American Riviera Magtax,Tax preparation software,FALSE
American Sign Language ASL browser,Dictionary software,FALSE
American Sign Language Browser,Data base user interface and query software,FALSE
Amkai AmkaiCharts,Medical software,FALSE
AmoK Translator,Foreign language software,FALSE
Amortization calculation,Accounting software,FALSE
Amortization loan,Financial analysis software,FALSE
Amtec Engineering Tecplot,Graphics or photo imaging software,FALSE
Anacomp CaseLogistix,Document management software,FALSE
Anadigm Designer2 EDA,Analytical or scientific software,FALSE
Analog Devices VisualDSP++,Development environment software,FALSE
Analyse-it,Analytical or scientific software,FALSE
Analysis and Visualization of Time Sequences AVTS,Analytical or scientific software,FALSE
Analysis and building,Analytical or scientific software,FALSE
Analysis of Smoke Control Systems ASCOS,Analytical or scientific software,FALSE
Analytical Graphics STK Expert Edition,Analytical or scientific software,FALSE
AnalyzerXL,Financial analysis software,FALSE
Anand Systems ASI FrontDesk,Facilities management software,FALSE
Anasazi Software Assessment and Treatment Plan,Medical software,FALSE
Anasazi Software Client Data,Medical software,FALSE
Anatomic pathology,Medical software,FALSE
AndersonBell Abstat,Analytical or scientific software,FALSE
Anesthesia machine,Medical software,FALSE
Angoss KnowledgeSEEKER,Data mining software,FALSE
Animal Intelligence Software Animal Intelligence,Medical software,FALSE
Animal Shelter Manager,Data base user interface and query software,FALSE
Aninoquisi MesoTRAC,Analytical or scientific software,FALSE
Anisotropic Crystalline Etch Simulation ACES,Analytical or scientific software,FALSE
Annuities analysis,Financial analysis software,FALSE
Anodas Software Limited Phoenix,Enterprise resource planning ERP software,FALSE
Ansoft HFSS,Analytical or scientific software,FALSE
Ansoft Simplorer,Analytical or scientific software,FALSE
Ansys Fluent,Analytical or scientific software,FALSE
Antek HealthWare LabDAQ,Medical software,FALSE
Antenna House,Desktop publishing software,FALSE
AnthillPro,Development environment software,FALSE
Anthropometric databases,Data base user interface and query software,FALSE
Anti-Trojan,Transaction security and virus protection software,FALSE
Anti-phishing,Transaction security and virus protection software,FALSE
Anti-spyware,Transaction security and virus protection software,FALSE
Antivirus,Transaction security and virus protection software,FALSE
Anvil Studio,Music or sound editing software,FALSE
Aonix Software Through Pictures,Development environment software,FALSE
ApE A Plasmid Editor,Analytical or scientific software,FALSE
Apache Accumulo,Data base user interface and query software,FALSE
Apache Airflow,Procedure management software,TRUE
Apache Ant,Development environment software,FALSE
Apache Avro,Information retrieval or search software,FALSE
Apache Cassandra,Data base management system software,TRUE
Apache Continuum,Development environment software,FALSE
Apache Flex,Web platform development software,FALSE
Apache Flume,Data base management system software,FALSE
Apache Groovy,Object or component oriented development software,FALSE
Apache Gump,Development environment software,FALSE
Apache HBase,Data base management system software,FALSE
Apache HTTP Server,Application server software,FALSE
Apache Hadoop,Data base management system software,TRUE
Apache Hadoop YARN,Data base management system software,FALSE
Apache Hive,Data base management system software,TRUE
Apache JMeter,Object or component oriented development software,FALSE
Apache Kafka,Development environment software,TRUE
Apache MXNet,Industrial control software,FALSE
Apache Mahout,Expert system software,FALSE
Apache Maven,Development environment software,TRUE
Apache Oozie,Data base management system software,FALSE
Apache Pig,Data base management system software,FALSE
Apache Solr,Data base management system software,FALSE
Apache Sqoop,Data base management system software,FALSE
Apache Struts,Web platform development software,FALSE
Apache Subversion SVN,File versioning software,TRUE
Apache Tomcat,Web platform development software,TRUE
Apatar,Metadata management software,FALSE
Apex Business Software iBenefits,Human resources software,FALSE
Apex Business Software iHR,Human resources software,FALSE
Apex IV Assessor,Map creation software,FALSE
Apex IV Fee Appraiser,Map creation software,FALSE
Apex MobileSketch,Map creation software,FALSE
Apfloat,Analytical or scientific software,FALSE
Apian SurveyPro,Data base user interface and query software,FALSE
Apollo Photonics APSS,Computer aided design CAD software,FALSE
Apollo Reservation,Calendar and scheduling software,FALSE
App Software Associations AppTrak.net,Project management software,FALSE
AppFolio Property Manager,Data base user interface and query software,FALSE
Appium,Program testing software,FALSE
Apple AppleScript,Operating system software,FALSE
Apple AppleWorks,Spreadsheet software,FALSE
Apple Cocoa,Object or component oriented development software,FALSE
Apple DVD Studio Pro,Video creation and editing software,FALSE
Apple DrawBerry,Graphics or photo imaging software,FALSE
Apple Final Cut Express,Video creation and editing software,FALSE
Apple Final Cut Pro,Video creation and editing software,FALSE
Apple Final Cut Studio,Video creation and editing software,FALSE
Apple GarageBand,Music or sound editing software,FALSE
Apple Keynote,Presentation software,FALSE
Apple Logic Pro,Music or sound editing software,FALSE
Apple MainStage,Music or sound editing software,FALSE
Apple Numbers for Mac,Spreadsheet software,FALSE
Apple QuickTime,Video creation and editing software,FALSE
Apple Safari,Internet browser software,TRUE
Apple Shazam,Analytical or scientific software,FALSE
Apple Xsan,Filesystem software,FALSE
Apple iDVD,Video creation and editing software,FALSE
Apple iMovie,Video creation and editing software,FALSE
Apple iOS,Operating system software,TRUE
Apple iPhoto,Graphics or photo imaging software,FALSE
Apple iWork,Office suite software,FALSE
Apple iWork Keynote,Presentation software,FALSE
Apple iWork Numbers,Spreadsheet software,FALSE
Apple iWork Pages,Word processing software,FALSE
Apple macOS,Operating system software,TRUE
Appletree,Computer based training software,FALSE
AppliCad Roof Wizard,Computer aided design CAD software,FALSE
Applicant tracking,Human resources software,FALSE
ApplicantPro iApplicants,Human resources software,FALSE
Application Software SHEAR,Project management software,FALSE
Application-specific integrated circuit ASIC logic synthesis,Analytical or scientific software,FALSE
Applied Biosystems GeneMapper,Analytical or scientific software,FALSE
Applied Computer Systems JOBPOWER,Accounting software,FALSE
Applied Flow Technology AFT Arrow,Analytical or scientific software,FALSE
Applied Flow Technology AFT Fathom,Analytical or scientific software,FALSE
Applied Imagery Quick Terrain Modeler,Map creation software,FALSE
Applied Production ProFab,Computer aided manufacturing CAM software,FALSE
Applied Production ProFold,Computer aided design CAD software,FALSE
Applied Search Technology CADFind,Document management software,FALSE
Applied Software Technologies Asset Maintenance and Materials Management,Materials requirements planning logistics and supply chain software,FALSE
Applied Systems Associates aSa Rebar,Project management software,FALSE
Applied Systems The Agency Manager,Enterprise resource planning ERP software,FALSE
Applied Systems Vision,Customer relationship management CRM software,FALSE
Appligent Citation FDFMerge,Document management software,FALSE
Appointment Search,Calendar and scheduling software,FALSE
Appointment scheduling,Calendar and scheduling software,FALSE
AppointmentQuest Online Appointment Manager,Calendar and scheduling software,FALSE
AppointmentQuest Online Appointment Scheduler,Calendar and scheduling software,FALSE
Appraisal,Financial analysis software,FALSE
Aprimo Marketing,Enterprise resource planning ERP software,FALSE
Aptean Made2Manage,Enterprise resource planning ERP software,FALSE
Aptean Onyx CRM,Customer relationship management CRM software,FALSE
Aptech Systems GAUSS,Analytical or scientific software,FALSE
Apteryx Imaging Suite,Graphics or photo imaging software,FALSE
Aqsis Renderer,Graphics or photo imaging software,FALSE
AquaSoft Farm Manager,Project management software,FALSE
Aquatic Plant Information Retrieval System APIRS,Analytical or scientific software,FALSE
